sample_number,time_approx,sampling_rate_hz
79,0.395,224.3063265415263
80,0.4,165.00664856996735
81,0.405,248.1983549322445
82,0.41000000000000003,192.5582591130291
83,0.41500000000000004,141.70903439421582
84,0.42,327.39864179220984
85,0.425,309.93157466932684
86,0.43,141.2984772941652
87,0.435,331.5917463831133
88,0.44,138.05681182317895
89,0.445,249.02357062281067
90,0.45,161.7361662746308
91,0.455,329.2749254200031
92,0.46,141.4557350510944
93,0.465,331.98543612474276
94,0.47000000000000003,155.14921950136863
95,0.47500000000000003,301.3365902722897
96,0.48,159.96582761250954
97,0.485,331.9066234074543
98,0.49,155.0918503180003
99,0.495,248.27181247780277
100,0.5,163.32959501557633
101,0.505,165.0650924832743
102,0.51,283.3032083755488
103,0.515,132.55495859933
104,0.52,496.0151371807001
105,0.525,248.1983549322445
106,0.53,160.075719410732
107,0.535,247.1890617633192
108,0.54,164.66331658291458
109,0.545,140.84771147452904
110,0.55,485.62047007062637
111,0.555,140.7909771407472
112,0.56,331.0944111146195
113,0.5650000000000001,118.78179604089377
114,0.5700000000000001,997.4563614744352
115,0.5750000000000001,113.23103504130447
116,0.58,330.93766766608803
117,0.585,165.54720555730975
118,0.59,330.2341547909613
119,0.595,329.40422524149847
120,0.6,139.29936898040518
121,0.605,157.04886359381436
122,0.61,314.29778943424503
123,0.615,140.46093566859784
124,0.62,330.78107255520507
125,0.625,117.53689225164635
126,0.63,218.1352194716039
127,0.635,111.08090786302603
128,0.64,500.2748091603053
129,0.645,142.82371369223958
130,0.65,333.03986025091314
131,0.655,111.12505298855447
132,0.66,481.77165173443603
133,0.665,248.13962018576584
134,0.67,165.23416325244247
135,0.675,243.48682224544294
136,0.68,165.19511618747538
137,0.685,105.6526360865513
138,0.6900000000000001,247.87565746705278
139,0.6950000000000001,123.2929833328434
140,0.7000000000000001,469.9500280112045
141,0.705,122.10847477364698
142,0.71,993.2048306890836
143,0.715,88.43518596609597
144,0.72,290.42404099155243
145,0.725,121.32434699603714
146,0.73,423.62428037571965
147,0.735,122.52940317256288
148,0.74,497.7220837783316
149,0.745,121.4332368268674
150,0.75,490.9063670411985
151,0.755,141.3079981133347
152,0.76,331.617963314358
153,0.765,141.93922165820643
154,0.77,328.9134253450439
155,0.775,124.40468634139107
156,0.78,497.3089874318236
157,0.785,25.706062611850655
158,0.79,985.272257458304
159,0.795,141.22711202397386
160,0.8,330.8854528242348
161,0.805,141.103582842725
162,0.81,330.3121751456922
163,0.8150000000000001,123.24950780171021
164,0.8200000000000001,495.9564857514485
165,0.8250000000000001,123.48536772066184
166,0.8300000000000001,985.9670897978373
167,0.835,122.28648065541269
168,0.84,496.4848484848485
169,0.845,122.24371192911894
170,0.85,494.4364022161971
171,0.855,123.78420493448235
172,0.86,983.1936240037506
173,0.865,109.42328663483865
174,0.87,496.19117473086476
175,0.875,132.81940530099118
176,0.88,492.636128729152
177,0.885,110.0751627125761
178,0.89,992.734674556213
179,0.895,117.73815405344712
180,0.9,476.19255222524976
181,0.905,141.103582842725
182,0.91,429.4802375588777
183,0.915,107.59867627818682
184,0.92,199.5577124369588
185,0.925,93.0104002661049
186,0.93,246.95619406500236
187,0.935,136.55111342622737
188,0.9400000000000001,283.57136096274763
189,0.9450000000000001,122.05162229012076
190,0.9500000000000001,990.3905548996458
191,0.9550000000000001,100.2414798527795
192,0.96,996.0351460460698
193,0.965,141.42234810169262
194,0.97,312.09941215864274
195,0.975,138.87504138798755
196,0.98,328.6299459374755
197,0.985,123.53992518629789
198,0.99,760.3886874546773
199,0.995,140.22613754137274
200,1.0,331.8541023815175
201,1.0050000000000001,117.45460655278633
202,1.01,932.8967971530249
203,1.0150000000000001,108.31557472303282
204,1.02,838.0227772227772
205,1.025,136.40900221152594
206,1.03,331.617963314358
207,1.035,137.1808340147179
208,1.04,323.7594751061366
209,1.045,123.875601760241
210,1.05,990.8584927947082
211,1.055,115.14272380377193
212,1.06,498.49108628476347
213,1.065,123.83902683870205
214,1.07,990.624468587624
215,1.075,134.25639384142633
216,1.08,320.22476714002136
217,1.085,135.051807965998
218,1.09,415.895290034705
219,1.095,131.8922046476526
220,1.1,497.3089874318236
221,1.105,109.4204320150266
222,1.11,984.5784037558685
223,1.115,136.02412842549052
224,1.12,442.1106777695794
225,1.125,117.72163125543798
226,1.1300000000000001,497.3089874318236
227,1.135,136.0461887771651
228,1.1400000000000001,329.45597360772916
229,1.145,139.26236801912478
230,1.1500000000000001,330.4162596502285
231,1.155,113.765433438212
232,1.16,204.12225034066577
233,1.165,88.85672520814354
234,1.17,289.12276831874266
235,1.175,123.44175643063159
236,1.18,494.20336985978554
237,1.185,123.56176167329504
238,1.19,498.1358669833729
239,1.195,104.39824771007567
240,1.2,498.7281807372176
241,1.205,123.2929833328434
242,1.21,761.7697057755177
