sample_number,time_approx,sampling_rate_hz
258,1.29,325.7711844660194
259,1.295,122.96766249376998
260,1.3,967.0979940050727
261,1.305,116.9274344177748
262,1.31,991.5612293144208
263,1.315,121.88138203585854
264,1.32,497.6039862379879
265,1.325,119.40739053692421
266,1.33,991.7956963821234
267,1.335,123.5763236204001
268,1.34,495.8978481910617
269,1.345,123.36551075031619
270,1.35,497.95844710910603
271,1.355,106.82314588427057
272,1.36,498.25421715371823
273,1.365,141.69467247728116
274,1.37,456.69686411149826
275,1.375,123.71848268538729
276,1.3800000000000001,494.55300082537434
277,1.385,124.95692069355896
278,1.3900000000000001,333.03986025091314
279,1.395,138.02955211110014
280,1.4000000000000001,499.67881820347867
281,1.405,124.98298519026193
282,1.41,310.7352200325974
283,1.415,142.7896779464833
284,1.42,333.4369981715558
285,1.425,249.8542920116757
286,1.43,166.68537137861145
287,1.435,333.1456711675933
288,1.44,124.97181336034801
289,1.445,315.7172751223184
290,1.45,166.63901470003972
291,1.455,249.8542920116757
292,1.46,142.87723123041286
293,1.465,333.03986025091314
294,1.47,142.82371369223958
295,1.475,300.6023077474378
296,1.48,142.7507998094071
297,1.485,333.27802940007945
298,1.49,142.86263156102046
299,1.495,333.06630667831337
300,1.5,142.83344117146262
301,1.5050000000000001,249.9585220500596
302,1.51,199.94775230013823
303,1.5150000000000001,142.86263156102046
304,1.52,249.8542920116757
305,1.5250000000000001,333.38399173356646
306,1.53,166.59268379870517
307,1.5350000000000001,287.5962698848053
308,1.54,124.91970455086967
309,1.545,333.38399173356646
310,1.55,141.9584376903811
311,1.555,333.3310021457522
312,1.56,142.83344117146262
313,1.565,294.70938729623384
314,1.57,142.81398753788008
315,1.575,333.2250734885199
316,1.58,136.29375446805744
317,1.585,333.2250734885199
318,1.59,166.65225683407502
319,1.595,142.83830540798257
320,1.6,243.17625231910947
321,1.605,124.9792610250298
322,1.61,427.5539245667686
323,1.615,124.97181336034801
324,1.62,500.09586264456897
325,1.625,121.16312794291822
326,1.6300000000000001,500.2748091603053
327,1.635,111.0662006143417
328,1.6400000000000001,817.7625268083447
329,1.645,124.96436658324396
330,1.6500000000000001,333.06630667831337
331,1.655,142.80426270811344
332,1.6600000000000001,333.41049284578696
333,1.665,133.13560182833925
334,1.67,326.5320358115998
335,1.675,142.1797966101695
336,1.68,330.5464575616676
337,1.685,247.04346801743432
338,1.69,166.60591857000992
339,1.695,249.9585220500596
340,1.7,139.29011689691816
341,1.705,315.1005934941026
342,1.71,139.61002562993042
343,1.715,306.39959091241144
344,1.72,163.5333749220212
345,1.725,247.5537980286844
346,1.73,158.18011766480615
347,1.735,326.354186118892
348,1.74,163.73766396002497
349,1.745,247.4077744352032
350,1.75,141.3079981133347
351,1.7550000000000001,329.37835715407573
352,1.76,140.9139593482278
353,1.7650000000000001,319.78530039646233
354,1.77,162.53842278628173
355,1.7750000000000001,248.3600189483657
356,1.78,173.62685763960758
357,1.7850000000000001,309.4285503504242
358,1.79,137.11804897185263
359,1.795,308.4047058823529
360,1.8,136.8272982318784
361,1.805,330.8071614480637
362,1.81,139.08688154927708
363,1.815,249.82452796473882
364,1.82,199.96681764004768
365,1.825,142.85776566757494
366,1.83,227.58024959305482
367,1.835,124.96064352748398
368,1.84,500.09586264456897
369,1.845,106.73072420988345
370,1.85,967.767420396862
371,1.855,123.17349935392929
372,1.86,482.9921695071396
373,1.865,123.5945308816596
374,1.87,446.20255319148936
375,1.875,134.99530093337626
376,1.8800000000000001,451.0489299924723
377,1.885,117.52701188074423
378,1.8900000000000001,497.4859447277903
379,1.895,119.19699897692395
380,1.9000000000000001,498.49108628476347
381,1.905,131.92539238197088
382,1.9100000000000001,430.8036154478225
