time,position,torque,uncorrected_torque,voltage,velocity
0.0020003318786621094,0.2762388523315198,0.035991803686812505,-0.024400038334761155,6.4428208727850755,0.0016812486504684658
0.0040018558502197266,0.27630325711523235,0.03617752933369388,-0.02401360959657679,6.442724263952149,0.0009566947554370058
0.008156299591064453,0.2767218882030761,0.03649745614344956,-0.02320854972479349,6.442547147764662,0.0008117839655850622
0.014159440994262695,0.2762388523324013,0.03611895398969415,-0.02531780658461919,6.442595452178577,0.0010210995492753307
0.03236508369445801,0.27673798939911665,0.03646082520318765,-0.02233908506444352,6.44243443746372,0.0010372007430115636
0.036394357681274414,0.2754176913483512,0.036654330575697024,-0.022516198236702648,6.442514944821315,0.0018583618257339962
0.04819607734680176,0.2750473638496451,0.03674125411722803,-0.022789918592158585,6.442466640404487,0.0023413977531915706
0.05102086067199707,0.2774786444000272,0.03688240310368816,-0.022161971891458455,6.4425632492362315,0.0006346707998376786
0.06788897514343262,0.27667358461636304,0.03724182168406475,-0.019795095868734024,6.442514944821892,0.001504135478282067
0.07193827629089355,0.2754015901549195,0.0376021744060413,-0.01903833958830183,6.442531046292184,0.003355773196825109
0.08376288414001465,0.27612614396222374,0.037908503817781686,-0.018829024023883652,6.442531046292579,0.0015363378731098728
0.0870981216430664,0.27451602438717515,0.03808133765490639,-0.01979509586659504,6.442353930103515,0.0019066654184854725
0.09802937507629395,0.27456432797730856,0.03818708607535491,-0.020245929394182856,6.442579350707312,0.002276992963423709
0.10105037689208984,0.275514298524844,0.03840045354742166,-0.018507000073276724,6.442659858066638,0.0012465163153801318
0.1123204231262207,0.2765608762457078,0.03853515707302177,-0.019183250365477033,6.442434437461505,0.0014558318838986514
0.1163942813873291,0.2766413822229806,0.038656327208871265,-0.01910274437802271,6.4424666404047,0.003114255235056435
0.1291182041168213,0.2733245358983508,0.03883302661036407,-0.01783074978055074,6.442353930103212,0.0031142552369719584
0.13112330436706543,0.2761100427664173,0.03894820031248358,-0.018571404862550055,6.442418335989603,0.002148183381482204
0.14545488357543945,0.2775430491821266,0.03925810130132903,-0.014546105488205337,6.442531046292335,0.001198212722889455
0.14645767211914062,0.276915102551412,0.0394771072441503,-0.01573759410903102,6.442547147764662,0.0021964869721251236
0.1620922088623047,0.27599733439609314,0.03994287043154551,-0.013966462384203788,6.442498843349263,0.0016168438616247702
0.20204854011535645,0.2754981973284793,0.04032499053814926,-0.015013040220428065,6.442498843348018,0.0023413977524979054
0.20910072326660156,0.27591682841822907,0.0407668399916012,-0.013000390534774647,6.442466640405399,0.0015524390698521899
0.21210241317749023,0.27346944665907197,0.04121320774649437,-0.015045242612097711,6.442531046292641,0.0022125881678682724
0.2231273651123047,0.2777845671161282,0.041777990407210676,-0.009764049831206916,6.442579350706917,0.0011982127183850222
0.22739601135253906,0.27561090569908575,0.042214927869242004,-0.012501253409953148,6.442659858066304,0.003581189963116333
0.23445606231689453,0.2753693877640796,0.04273770732837969,-0.011100449224495679,6.442869177199991,0.0030820528418837815
0.2374567985534668,0.27517617341519796,0.0433644442510363,-0.008395448022083071,6.4424666404048825,0.0007795815782260744
0.2444608211517334,0.27535328656818225,0.04376402236369321,-0.010649615686604535,6.442756466897682,0.0036777971510077363
0.24765253067016602,0.2731635239439397,0.04421478931411071,-0.008878483965246221,6.442353930102786,0.003597291156742455
0.2600114345550537,0.2780260850519617,0.044805289383843504,-0.005883661220128189,6.442498843348806,0.0002965456544713304
0.2630338668823242,0.2754820961336828,0.04538558970990421,-0.007059048640035544,6.442917481615663,0.0003770516232700764
0.26709985733032227,0.275127869828084,0.04596605564427491,-0.007558185769212841,6.442675959538296,0.003967618704920383
0.27804017066955566,0.2759168284182604,0.04662244568884324,-0.004257440252958058,6.442144610970071,0.001310921106760671
0.2810828685760498,0.2755465009165746,0.047260867437690916,-0.00535232170284055,6.4424827418763595,0.00044145643033919696
0.29482412338256836,0.27623885233098033,0.047965939208355624,-0.0038871127189337926,6.4424505389334055,0.0008761887711688003
0.2978537082672119,0.2760939415698943,0.04860036075446393,-0.004096428291954205,6.442675959538903,0.0025507133184011514
0.31146240234375,0.2765286738535805,0.049375692527851706,-0.001954969010620444,6.442498843349171,0.002856636072510731
0.3144819736480713,0.2752727805899705,0.04980070370448543,-0.005014196553494983,6.442305625687689,0.0017617546389652248
0.32707834243774414,0.2767218882031507,0.046830000170035,-0.07405613048311435,6.442353930102636,-0.04285466451669569
0.33419370651245117,0.277140519291756,0.04560861464032954,-0.037361502199791154,6.442740365424475,-0.052418776173901796
0.33724260330200195,0.27725322766149463,0.04538935396691036,-0.018603607258278997,6.442321727158406,-0.056218658936407304
0.3413262367248535,0.27685069776887217,0.04557289685867182,-0.008556460018234704,6.442080205083225,-0.05712032603376972
0.3484640121459961,0.277317632444425,0.04562580741263389,-0.01319360490472935,6.442659858066304,-0.05167812105926217
0.36026573181152344,0.27805828744639915,0.045818200743176385,-0.005126904936827888,6.442241219802239,-0.04810365508451546
0.3623037338256836,0.27844471614249644,0.04626575279776442,-0.002776130088774294,6.442579350706856,-0.04877990540008596
0.3694303035736084,0.27912096636221584,0.046377839101118715,-0.00808952528159961,6.442321727160592,-0.05084085876031104
0.3727889060974121,0.279314180708139,0.046072115263330354,-0.013741045620040901,6.442418335989572,-0.049053625768110204
0.379788875579834,0.27868623407638415,0.04600736453922673,-0.01118095521561505,6.442675959539176,-0.04705707720572617
0.38278913497924805,0.27958790103627335,0.04604341441024198,-0.007397173794715955,6.442225118328151,-0.0513721982986899
