sample_number,time_approx,sampling_rate_hz
0,0.0,397.8283221094565
1,0.02,88.92265943012211
2,0.04,246.2457582340163
3,0.06,98.25947617485826
4,0.08,188.46569310267355
5,0.1,86.55545008048206
6,0.12,326.4303836874465
7,0.14,67.84594231733553
8,0.16,995.7986704653372
9,0.18,247.99290486607936
10,0.2,83.54355143909969
11,0.22,248.33060982830077
12,0.24,81.57902516824211
13,0.26,248.25711749038177
14,0.28,78.66286571642911
15,0.3,98.91293274219413
16,0.32,198.368520620507
17,0.34,98.58743888679955
18,0.36,228.83430629057779
19,0.38,98.982961249823
20,0.4,198.5469349112426
21,0.42,98.00920668302372
22,0.44,495.6634365398251
23,0.46,247.78779464760441
24,0.48,108.54543101886597
25,0.5,247.43696537077457
26,0.52,124.06247042120208
27,0.54,96.7700436056572
28,0.56,328.60419931056094
29,0.58,99.13268730796501
30,0.6,261.1646326276463
31,0.62,99.13268730796501
32,0.64,198.5845367170115
33,0.66,98.73829421596554
34,0.68,210.58914495154892
35,0.7000000000000001,99.02035034704188
36,0.72,195.4111069698099
37,0.74,88.60144912228817
38,0.76,230.3676607898061
39,0.78,78.27092391811446
40,0.8,495.8978481910617
41,0.8200000000000001,72.54824091050611
42,0.84,327.3730877302529
43,0.86,247.5684098689647
44,0.88,99.50190970986644
45,0.9,188.67764282501125
46,0.92,84.61375832156547
47,0.9400000000000001,195.88567158602652
48,0.96,94.64963668366656
49,0.98,95.32942406473022
50,1.0,332.06428627978784
51,1.02,244.08193668528864
52,1.04,118.78852417230735
53,1.06,98.02294982355278
54,1.08,189.7531668476294
55,1.1,98.35625175874684
56,1.12,221.47555180061252
57,1.1400000000000001,95.49220226305125
58,1.16,234.3186592178771
59,1.18,80.36912700237602
60,1.2,330.39023237495076
61,1.22,72.95076093573354
62,1.24,331.2251441206665
63,1.26,246.53523775936048
64,1.28,90.16324512564759
65,1.3,245.26659259692417
66,1.32,79.41952586533364
67,1.34,244.0961415352383
68,1.36,90.16130696474634
69,1.3800000000000001,99.17487940981746
70,1.4000000000000001,330.8332544565389
71,1.42,246.70925239691783
72,1.44,108.77626494463031
73,1.46,248.6544937159118
74,1.48,137.98868272141073
75,1.5,80.95236624720143
76,1.52,331.8541023815175
77,1.54,246.43384253819036
78,1.56,87.8682699962291
79,1.58,248.3453135176742
80,1.6,83.0275748757844
81,1.62,199.1597340930674
82,1.6400000000000001,124.94947569113441
83,1.6600000000000001,97.8788387939886
84,1.68,332.40640355048345
85,1.7,98.92693051559036
86,1.72,197.84452830188678
87,1.74,99.06478660336805
88,1.76,495.83922449462113
89,1.78,198.17169855894164
90,1.8,123.36551075031619
91,1.82,90.09545903681746
92,1.84,245.58252825106857
93,1.86,90.30690063515986
94,1.8800000000000001,247.34941322167836
95,1.9000000000000001,90.24278153104694
96,1.92,327.1432805553389
97,1.94,87.8756337733082
98,1.96,278.3214333112143
99,1.98,90.13418145871836
100,2.0,246.2891368173811
101,2.02,90.20008602150537
102,2.04,266.1191548759596
103,2.06,87.96409546579422
104,2.08,246.39041297068673
105,2.1,94.26885127997663
