sample_number,time_approx,sampling_rate_hz
0,0.0,417.13615116857284
1,0.005,153.91941284403669
2,0.01,242.82429224801714
3,0.015,224.01880040591786
4,0.02,218.8637027760384
5,0.025,199.87152728139148
6,0.03,199.93822099342168
7,0.035,188.46569310267355
8,0.04,213.1576968033745
9,0.045,198.05940407045378
10,0.05,174.15313070918452
11,0.055,164.95473315766705
12,0.06,242.3752672637966
13,0.065,248.4188580904999
14,0.07,200.29148560240677
15,0.075,183.43774327574897
16,0.08,219.85029877345633
17,0.085,190.37327523602033
18,0.09,210.43066425847883
19,0.095,195.8033705242519
20,0.1,204.35098660170524
21,0.105,197.3325805692778
22,0.11,169.31632488293235
23,0.115,191.68703441341805
24,0.12,248.25711749038177
25,0.125,198.06875708349074
26,0.13,188.24576993851264
27,0.135,189.82186821144097
28,0.14,240.8581601010681
29,0.145,181.43807587489727
30,0.15,222.85234578396472
31,0.155,193.42851872348274
32,0.16,172.19410460628953
33,0.165,199.28274813512616
34,0.17,249.39374479724106
35,0.17500000000000002,185.36721615768772
36,0.18,213.19020026430823
37,0.185,188.63521475151788
38,0.19,216.99539551968545
39,0.195,191.18027257395505
40,0.2,173.31834710743803
41,0.20500000000000002,247.5391879131256
42,0.21,197.41617245599173
43,0.215,197.90053788808154
44,0.22,206.35166781462166
45,0.225,197.31401420708474
46,0.23,202.87820450807777
47,0.23500000000000001,196.70327815035407
48,0.24,185.33445274181432
49,0.245,198.29349470499244
50,0.25,223.23189100005322
51,0.255,196.51895234971653
52,0.26,170.583374003579
53,0.265,191.76591075347477
54,0.27,261.0508495674364
55,0.275,198.81044698298336
56,0.28,201.28150494289278
57,0.28500000000000003,187.00361139596058
58,0.29,214.94921334494953
59,0.295,198.5469349112426
60,0.3,201.30082549433672
61,0.305,194.4147585056086
62,0.31,206.00707269155205
63,0.315,197.16560898791897
64,0.32,202.71151708472283
65,0.325,184.32450010986597
66,0.33,218.8637027760384
67,0.335,189.71025374281967
68,0.34,211.3212414349053
69,0.34500000000000003,184.3569073886862
70,0.35000000000000003,194.2526861800667
71,0.355,194.22570039360963
72,0.36,191.31107462141944
73,0.365,187.78223495702005
74,0.37,248.21304296366435
75,0.375,182.05234602196276
76,0.38,211.94057604850934
77,0.385,188.60976706538358
78,0.39,238.93722228551897
79,0.395,196.56500140594244
80,0.4,203.82466712022548
81,0.405,193.59815370413108
82,0.41000000000000003,172.63351992097463
83,0.41500000000000004,189.71025374281967
84,0.42,248.6987251704714
85,0.425,197.965922499646
86,0.43,195.9588861894973
87,0.435,197.88186450273636
88,0.44,219.75814733312376
89,0.445,198.21852551984878
90,0.45,201.95993836671803
91,0.455,200.00495922941204
92,0.46,200.10037689041553
93,0.465,182.10767627648488
94,0.47000000000000003,220.4048344718865
95,0.47500000000000003,196.3717402500117
96,0.48,205.17066966687864
97,0.485,191.9150766415008
98,0.49,208.54733492442324
99,0.495,189.3676463948711
100,0.5,211.8228372304429
101,0.505,188.7031088316012
102,0.51,199.78584357435457
103,0.515,199.95728451563693
104,0.52,199.93822099342168
105,0.525,193.72333841393007
106,0.53,220.93889591234725
107,0.535,181.5794623143859
108,0.54,222.4386932541366
109,0.545,190.0799419922052
110,0.55,211.01292951652664
111,0.555,188.28802298437782
112,0.56,177.57425910245556
113,0.5650000000000001,230.4689268641134
114,0.5700000000000001,211.89774679195716
115,0.5750000000000001,192.06447476875172
116,0.58,208.63032232391564
117,0.585,185.13811520635622
118,0.59,217.445383379128
119,0.595,196.79557077839817
120,0.6,203.28134541753502
121,0.605,189.8390513261519
122,0.61,175.4058213449314
123,0.615,245.42445874780574
124,0.62,200.16722344182494
125,0.625,194.45081131200743
126,0.63,197.44405215835803
127,0.635,198.89529590288316
128,0.64,211.60910145804954
129,0.645,188.50804494382024
130,0.65,213.03860219422998
131,0.655,183.95263365641858
132,0.66,191.89751567003705
133,0.665,198.78218009478672
134,0.67,231.014760960564
135,0.675,198.19979208014365
136,0.68,202.15461731251204
137,0.685,197.84452830188678
138,0.6900000000000001,202.15461731251204
139,0.6950000000000001,199.17864944439168
140,0.7000000000000001,199.8239161505479
141,0.705,196.65716429107277
142,0.71,195.22010705143123
143,0.715,196.6479441136481
144,0.72,212.45588086313444
145,0.725,195.02948014507578
146,0.73,171.69364280158828
147,0.735,199.36800076052856
148,0.74,248.02223404884396
149,0.745,196.6479441136481
150,0.75,204.49046852908197
151,0.755,197.04519402424128
152,0.76,170.6319515072617
153,0.765,190.5462475013629
154,0.77,242.45933290941673
155,0.775,199.02742716143115
156,0.78,199.23541706251189
157,0.785,184.67347657625925
158,0.79,236.19236400495552
159,0.795,187.6898017631002
160,0.8,174.03751037344398
161,0.805,249.12710857685911
162,0.81,199.1597340930674
163,0.8150000000000001,183.48589177129358
164,0.8200000000000001,198.9047280314886
165,0.8250000000000001,193.0012884226026
166,0.8300000000000001,198.38728597105288
167,0.835,196.71250351749367
168,0.84,241.99769213016387
169,0.845,196.16968336373415
170,0.85,203.96343123905854
171,0.855,196.55578986831623
172,0.86,171.7006713607336
173,0.865,245.59690830308
174,0.87,194.8573286875726
175,0.875,188.9666606595783
176,0.88,218.95510544998956
177,0.885,194.8844902890066
178,0.89,205.28112764291308
179,0.895,191.02354602176982
180,0.9,209.83060683375857
181,0.905,199.25434679334916
182,0.91,179.15954038699758
183,0.915,186.06618756099724
184,0.92,245.56814988290398
185,0.925,189.41040462427745
186,0.93,207.88580491673275
187,0.935,191.18898714559214
188,0.9400000000000001,193.17907148120855
189,0.9450000000000001,184.68974020255393
190,0.9500000000000001,246.08683407650787
191,0.9550000000000001,196.2614758317346
192,0.96,172.10225267736243
193,0.965,199.90963252466517
194,0.97,244.87996263428303
195,0.975,182.81410451989714
196,0.98,221.62768824306474
197,0.985,191.49449847052915
198,0.99,208.14371495211157
199,0.995,196.0229938776464
200,1.0,204.11231690106575
201,1.0050000000000001,195.52953242273088
202,1.01,172.8255799579711
203,1.0150000000000001,191.78344764517604
204,1.02,258.92363726155935
205,1.025,185.21987193640982
206,1.03,217.5807438916844
207,1.035,178.36716989155858
208,1.04,227.3212292016693
209,1.045,189.94221537904176
210,1.05,211.20418953623042
211,1.055,182.93370551290997
212,1.06,183.31748251748252
213,1.065,199.32062918785346
214,1.07,223.42214883076758
215,1.075,197.6953242835596
216,1.08,218.2714404662781
217,1.085,198.5845367170115
218,1.09,202.72131464475592
219,1.095,196.2706598034628
220,1.1,203.8841143301575
221,1.105,196.6479441136481
222,1.11,171.83432340530132
223,1.115,182.1393086677089
224,1.12,279.1550083194675
225,1.125,184.2111643023409
226,1.1300000000000001,214.39983642590605
227,1.135,191.76591075347477
228,1.1400000000000001,212.02628652310182
229,1.145,196.00467311556613
230,1.1500000000000001,204.1918114989533
231,1.155,196.6387248007501
232,1.16,172.12344057780695
233,1.165,199.88105223027068
234,1.17,245.15190835232917
235,1.175,186.91194295900178
236,1.18,211.64113432233324
237,1.185,195.79423023060406
238,1.19,207.11589551133278
239,1.195,198.13425291700128
240,1.2,202.19359814886232
241,1.205,196.81403969780865
242,1.21,171.2240365774004
243,1.215,199.95728451563693
244,1.22,217.0403104786546
245,1.225,186.2727716836168
246,1.23,226.19338834061372
247,1.235,183.57422969187675
248,1.24,236.45867628819482
249,1.245,189.5131031989879
250,1.25,211.73729113029432
251,1.2550000000000001,195.5933594478642
252,1.26,172.30728781529865
253,1.2650000000000001,181.06993610775342
254,1.27,248.87580846140153
255,1.2750000000000001,184.34070232496813
256,1.28,224.37832343658053
257,1.285,192.37279273494474
258,1.29,223.94703401142613
259,1.295,185.5722502433413
260,1.3,216.96172149803434
261,1.305,198.02200084981823
262,1.31,196.98041609918752
263,1.315,195.27464034638484
264,1.32,210.43066425847883
265,1.325,188.796543032049
266,1.33,194.28867889568278
267,1.335,198.64096613781672
268,1.34,219.94252753015206
269,1.345,196.53736938287804
270,1.35,203.58722454130668
271,1.355,196.13299041384147
272,1.36,185.0645958348041
273,1.365,196.62950635225727
274,1.37,202.6723363131191
275,1.375,194.80302819190933
276,1.3800000000000001,230.21592842636807
277,1.385,196.17885874649204
278,1.3900000000000001,203.96343123905854
279,1.395,196.56500140594244
280,1.4000000000000001,203.54770455207222
281,1.405,196.62950635225727
282,1.41,172.33560686991535
283,1.415,184.1060486348872
284,1.42,273.58319744308915
285,1.425,186.8536552768744
286,1.43,200.50212725273676
287,1.435,184.33260086138702
288,1.44,236.0992963692654
289,1.445,199.91916110581505
290,1.45,200.0144969003338
291,1.455,188.9666606595783
292,1.46,178.02648556876062
293,1.465,182.16304017372423
294,1.47,277.5662762226193
295,1.475,182.1472184826508
296,1.48,206.11843333824757
297,1.485,187.84951630240056
298,1.49,229.35987313392027
299,1.495,196.59264119990627
300,1.5,169.18655963857853
301,1.5050000000000001,6.472871160001358
302,1.51,195.16560420641198
303,1.5150000000000001,82.34135615846715
304,1.52,331.8803608165849
305,1.5250000000000001,73.17986565471517
306,1.53,997.4563614744352
307,1.5350000000000001,65.20893642822718
308,1.54,196.15133517280083
309,1.545,96.79907685206554
310,1.55,265.41188381952793
311,1.555,74.22233233056096
312,1.56,442.95110360122504
313,1.565,68.62520656424353
314,1.57,998.1684911946692
315,1.575,68.05731068165962
316,1.58,249.76502113976062
317,1.585,73.19774524004816
318,1.59,498.3726235741445
